nform,cuest_id,time,parcela,cultivo,nombre_parcela,provparcela_cod,munparcela_cod,superf_parcela_has,superficie_parcela,descanso_sino,temporary_crop,month_siembra,year_siembra,mixto_sino,since_siembra,month_harvest,year_harvest,age,female_head,transporte,tiempo_cant,tiempo_um
203,H1230,2,11,MAIZ GRANO/MAZORCA,AC 128,Independencia,DuvergÈ,2.5151997,40,No,Temporero,Agosto,2019,No,2000,Diciembre,2019,77,1,Motor,20,Minutos
215,H1231,2,11,MAIZ GRANO/MAZORCA,ACIZY 1,Independencia,DuvergÈ,2.2007997,35,No,Temporero,Septiembre,2019,S√≠,1988,Enero,2020,56,0,Motor,5,Minutos
215,H1231,2,11,HABICHUELA NEGRA,ACIZY 1,Independencia,DuvergÈ,2.2007997,35,No,Temporero,Septiembre,2019,S√≠,1988,Diciembre,2019,56,0,Motor,5,Minutos
215,H1231,2,12,MAIZ GRANO/MAZORCA,ACIZY 2,Independencia,DuvergÈ,2.2007997,35,No,Temporero,Septiembre,2019,S√≠,1988,Enero,2020,56,0,Motor,5,Minutos
215,H1231,2,12,HABICHUELA NEGRA,ACIZY 2,Independencia,DuvergÈ,2.2007997,35,No,Temporero,Septiembre,2019,S√≠,1988,Diciembre,2019,56,0,Motor,5,Minutos
654,H1237,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2016,Diciembre,2019,55,0,Motor,5,Minutos
266,H1242,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2016,,,75,0,A pie,60,Minutos
274,H1243,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2016,,,77,0,A pie,1,Horas
264,H1244,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2016,,,59,0,Motor,10,Minutos
268,H1249,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2016,,,58,0,Motor,15,Minutos
267,H1253,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2016,,,54,0,A pie,1,Horas
265,H1265,2,11,MOLONDRON,EL CANTON,Independencia,DuvergÈ,1.2575998,20,No,Temporero,Noviembre,2019,No,2018,,,56,0,Motor,10,Minutos
206,H1274,2,11,LIMON,ZONA 1,Independencia,JimanÌ,1.8863997,30,No,Permanente,Marzo,2017,No,2017,,,74,1,Motor,5,Minutos
211,H1275,2,11,LIMON,ZONAI IV,Independencia,JimanÌ,1.8863997,30,No,Permanente,Mayo,2016,No,2016,,,79,1,Motor,5,Minutos
661,H1276,2,11,RULO,ZUNA III,Independencia,JimanÌ,1.8863997,30,No,Permanente,Marzo,2014,No,1976,,,70,0,A pie,20,Minutos
661,H1276,2,11,LIMON,ZUNA III,Independencia,JimanÌ,1.8863997,30,No,Permanente,Febrero,2019,No,2019,,,70,0,A pie,20,Minutos
213,H1277,2,11,LIMON,ZONA 2,Independencia,JimanÌ,1.8863997,30,No,Permanente,Diciembre,2005,No,2005,,,69,0,Motor,10,Minutos
272,H1278,2,11,LIMON,ZONA IV,Independencia,JimanÌ,1.2575998,20,No,Permanente,Septiembre,2014,No,2014,,,73,0,Motor,15,Minutos
660,H1279,2,11,LIMON,ZONA VI,Independencia,JimanÌ,1.8863997,30,No,Permanente,Diciembre,2019,No,2019,,,52,0,Motor,5,Minutos
270,H1280,2,11,LIMON,ZONA 6,Independencia,JimanÌ,1.6348798,26,No,Permanente,Septiembre,2015,No,2015,,,61,0,A pie,30,Minutos
204,H1281,2,11,RULO,ZONA 2,Independencia,JimanÌ,1.2575998,20,No,Permanente,No recuerda,2003,No,2003,,,54,0,A pie,10,Minutos
210,H1282,2,11,,ZONA 2,Independencia,JimanÌ,1.2575998,20,SÌ,,,,,,,,76,0,Motor,15,Minutos
658,H1284,2,11,SANDIA,ZONA I,Independencia,JimanÌ,3.1439996,50,No,Temporero,Diciembre,2019,S√≠,2003,,,49,0,Motor,5,Minutos
