,ID,patca,geometry,tStart,tEnd,tBreak,numObs
15,376811,0,"POLYGON ((-71.768675 18.430446, -71.76871 18.43064, -71.768807 18.430815, -71.768956 18.430953, -71.769142 18.43104, -71.769347 18.431068, -71.76955100000001 18.431034, -71.769734 18.430942, -71.769879 18.4308, -71.76997 18.430622, -71.769999 18.430426, -71.769964 18.430232, -71.769867 18.430057, -71.769718 18.429919, -71.769532 18.429832, -71.769327 18.429804, -71.76912299999999 18.429838, -71.76894 18.42993, -71.768795 18.430072, -71.768704 18.43025, -71.768675 18.430446))",2015-07-31 15:08:22.900,2018-11-28 15:08:41.140,2018-12-14 15:08:37.830,55
15,376811,0,"POLYGON ((-71.768675 18.430446, -71.76871 18.43064, -71.768807 18.430815, -71.768956 18.430953, -71.769142 18.43104, -71.769347 18.431068, -71.76955100000001 18.431034, -71.769734 18.430942, -71.769879 18.4308, -71.76997 18.430622, -71.769999 18.430426, -71.769964 18.430232, -71.769867 18.430057, -71.769718 18.429919, -71.769532 18.429832, -71.769327 18.429804, -71.76912299999999 18.429838, -71.76894 18.42993, -71.768795 18.430072, -71.768704 18.43025, -71.768675 18.430446))",2019-01-15 15:08:35.880,2019-12-17 15:09:03.062,,19
16,377611,1,"POLYGON ((-71.072926 18.799942, -71.07296100000001 18.800137, -71.073058 18.800312, -71.073206 18.80045, -71.073392 18.800538, -71.073598 18.800567, -71.073803 18.800534, -71.073987 18.800442, -71.07413200000001 18.8003, -71.074224 18.800123, -71.074254 18.799927, -71.074219 18.799732, -71.074123 18.799557, -71.07397400000001 18.799419, -71.07378799999999 18.799331, -71.073582 18.799302, -71.07337800000001 18.799335, -71.073194 18.799427, -71.073048 18.799569, -71.072956 18.799746, -71.072926 18.799942))",2011-01-01 15:01:56.470,2013-03-27 15:04:48.020,2013-04-28 15:04:40.520,24
16,377611,1,"POLYGON ((-71.072926 18.799942, -71.07296100000001 18.800137, -71.073058 18.800312, -71.073206 18.80045, -71.073392 18.800538, -71.073598 18.800567, -71.073803 18.800534, -71.073987 18.800442, -71.07413200000001 18.8003, -71.074224 18.800123, -71.074254 18.799927, -71.074219 18.799732, -71.074123 18.799557, -71.07397400000001 18.799419, -71.07378799999999 18.799331, -71.073582 18.799302, -71.07337800000001 18.799335, -71.073194 18.799427, -71.073048 18.799569, -71.072956 18.799746, -71.072926 18.799942))",2013-05-22 15:10:48.010,2019-01-15 15:08:35.880,2019-01-31 15:08:31.870,86
16,377611,1,"POLYGON ((-71.072926 18.799942, -71.07296100000001 18.800137, -71.073058 18.800312, -71.073206 18.80045, -71.073392 18.800538, -71.073598 18.800567, -71.073803 18.800534, -71.073987 18.800442, -71.07413200000001 18.8003, -71.074224 18.800123, -71.074254 18.799927, -71.074219 18.799732, -71.074123 18.799557, -71.07397400000001 18.799419, -71.07378799999999 18.799331, -71.073582 18.799302, -71.07337800000001 18.799335, -71.073194 18.799427, -71.073048 18.799569, -71.072956 18.799746, -71.072926 18.799942))",2019-01-31 15:08:31.870,2019-12-17 15:09:03.062,,20
17,378111,0,"POLYGON ((-70.947227 18.727316, -70.946834 18.726811, -70.94660500000001 18.726055, -70.945893 18.726112, -70.94558600000001 18.725826, -70.944097 18.725731, -70.944344 18.726268, -70.944306 18.726618, -70.944069 18.72695, -70.94434800000001 18.727556, -70.94419000000001 18.728376, -70.945277 18.728165, -70.94672300000001 18.72814, -70.94689700000001 18.728648, -70.94693700000001 18.729416, -70.947073 18.729435, -70.947137 18.728625, -70.947227 18.727316))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,129
18,378212,1,"POLYGON ((-70.913977 18.746353, -70.914012 18.746548, -70.914108 18.746723, -70.91425700000001 18.746862, -70.91444300000001 18.746949, -70.914648 18.746978, -70.91485299999999 18.746945, -70.915037 18.746854, -70.915182 18.746712, -70.915274 18.746535, -70.915305 18.746339, -70.91527000000001 18.746144, -70.91517399999999 18.745969, -70.915025 18.74583, -70.914839 18.745743, -70.91463400000001 18.745714, -70.914429 18.745747, -70.91424499999999 18.745838, -70.9141 18.74598, -70.914008 18.746157, -70.913977 18.746353))",2011-01-01 15:01:56.470,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,132
19,378711,1,"POLYGON ((-70.90955599999999 18.733986, -70.90958999999999 18.734181, -70.90968599999999 18.734356, -70.909835 18.734494, -70.910021 18.734582, -70.91022599999999 18.734611, -70.910431 18.734578, -70.91061500000001 18.734486, -70.91076 18.734345, -70.910853 18.734168, -70.910855 18.733898, -70.91079000000001 18.733741, -70.910673 18.73356, -70.91045099999999 18.733412, -70.910273 18.733389, -70.91013100000001 18.733371, -70.909943 18.733403, -70.90978699999999 18.733494, -70.909678 18.733613, -70.909586 18.73379, -70.90955599999999 18.733986))",2011-01-01 15:01:56.470,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,118
20,378911,1,"POLYGON ((-70.891847 18.725694, -70.891882 18.725889, -70.89197799999999 18.726065, -70.892126 18.726203, -70.892312 18.726291, -70.892518 18.72632, -70.89272200000001 18.726287, -70.892906 18.726195, -70.893052 18.726054, -70.89314400000001 18.725877, -70.893174 18.725681, -70.89314 18.725486, -70.89304300000001 18.725311, -70.892895 18.725172, -70.892709 18.725084, -70.892504 18.725055, -70.89229899999999 18.725088, -70.892115 18.72518, -70.89197 18.725321, -70.89187699999999 18.725499, -70.891847 18.725694))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,150
21,379011,1,"POLYGON ((-70.943437 18.713113, -70.943471 18.713308, -70.943568 18.713484, -70.94371599999999 18.713622, -70.94390199999999 18.71371, -70.944107 18.713739, -70.944312 18.713706, -70.944496 18.713614, -70.944641 18.713472, -70.944733 18.713295, -70.94476400000001 18.7131, -70.944729 18.712904, -70.944633 18.712729, -70.944484 18.712591, -70.944298 18.712503, -70.944093 18.712474, -70.943888 18.712507, -70.943704 18.712599, -70.94355899999999 18.71274, -70.943467 18.712918, -70.943437 18.713113))",2011-01-17 15:02:04.340,2019-12-17 15:09:03.062,,130
