,ID,trend_Ori,Pvalue_Ori,trends_Mod_yue,Pvalue_Mod_yue,trends_Mod_rao,Pvalue_Mod_rao,trends_seasonal,Pvalue_seasonal,cor_seasonal,Pvalue_seasonal_cor,test
156,312211,no trend,0.9096221353961886,no trend,0.7324850152860349,no trend,,no trend,0.6033317722918665,no trend,0.31731050786291415,mandal kendal
157,312511,no trend,0.9291243012099806,no trend,0.8107342896072589,no trend,0.9072695636558803,no trend,0.6294858543167832,no trend,0.31731050786291415,mandal kendal
158,312611,no trend,0.9457970432721066,no trend,0.8848675524911114,no trend,0.95101039625084,no trend,0.8566982134393215,no trend,0.31731050786291415,mandal kendal
159,312612,no trend,0.8383870987564421,no trend,0.5956980798442386,no trend,0.8106871876344683,no trend,0.8566982134393215,no trend,0.31731050786291415,mandal kendal
160,312711,no trend,0.3771382028423258,no trend,0.129608064489368,no trend,0.36074087882086703,no trend,0.8676323347781927,no trend,0.31731050786291415,mandal kendal
161,312811,no trend,0.5945442759036266,no trend,0.19369219489278588,no trend,0.5794817442727402,no trend,0.6025370061053139,no trend,0.31731050786291415,mandal kendal
162,313011,no trend,0.40821489473295625,decreasing,0.00793603568038126,no trend,0.40821489473295625,no trend,0.22534569370166668,no trend,0.31731050786291415,mandal kendal
163,313511,no trend,0.30149552170586214,decreasing,0.03868678851133445,no trend,0.4469930106518929,no trend,0.7750969621959847,no trend,0.31731050786291415,mandal kendal
164,313911,no trend,0.1818977480986943,increasing,0.008199890582670566,no trend,0.1818977480986943,no trend,0.6407658627055894,no trend,0.31731050786291415,mandal kendal
165,313912,no trend,0.8870686942118249,no trend,0.7623952227683026,no trend,0.8385383657694394,no trend,0.8763934510755826,no trend,0.31731050786291415,mandal kendal
166,313921,no trend,0.5508678704577776,no trend,0.13979766303722485,no trend,0.4467317059215252,no trend,0.43673777193407926,no trend,0.31731050786291415,mandal kendal
167,314011,no trend,0.26990019525158404,increasing,0.007717023483777119,no trend,0.4272390412368958,no trend,0.2912928476178127,no trend,0.31731050786291415,mandal kendal
168,314013,no trend,0.4897429301593239,no trend,0.05187187434470819,increasing,0.03898600033322075,no trend,0.49964225765235604,no trend,0.31731050786291415,mandal kendal
169,314111,no trend,0.6099979618746088,no trend,0.1539775086874411,no trend,0.6544756189804637,no trend,0.7750969621959847,no trend,0.31731050786291415,mandal kendal
