,ID,cultivo_x,cultivo_y,superf_par,area,correccion,corregido,corregido2,patca,temporary_,temporary_crop,trends,geometry
210,335611,pasto,pasto,2.5151997,15138.252,revisar área,"Se movió hacia la derecha, zona de influencia contiene arboles","ok, arboles",1,0,0,trend,"POLYGON ((-70.95591363582189 19.88689201978253, -70.95594394632903 19.88669629800955, -70.95603670892362 19.88651901592094, -70.9561828431987 19.88637752704849, -70.95636804448708 19.88628568120096, -70.95657418411174 19.88625246878951, -70.95678108390297 19.88628114082194, -70.95696849129686 19.88636889069218, -70.95711806170985 19.88650712890578, -70.95721515417398 19.88668232385114, -70.95725026448696 19.88687732632665, -70.95721995559366 19.88707304818582, -70.9571271941105 19.88725033079715, -70.95698106001991 19.8873918204292, -70.95679585791862 19.88748366698308, -70.95658971679416 19.8875168797778, -70.95638281538908 19.88748820765919, -70.95619540688374 19.88740045726622, -70.95604583628625 19.88726221829302, -70.95594874463502 19.88708702264133, -70.95591363582189 19.88689201978253))"
211,336511,cilantro verde,espinaca,0.75455987,4539.119,"punto sobre la vía, mover hacia abajo",Se movió hacia abajo,ok,0,1,1,trend,"POLYGON ((-70.55492348245666 19.3959016575816, -70.55505102947212 19.39565126583664, -70.55483507996824 19.39555433323695, -70.55502307850071 19.39501981368784, -70.55554463266709 19.39523778987702, -70.55516930264135 19.39604622620771, -70.55492348245666 19.3959016575816))"
212,342411,cero,pasto,1.8863997,15137.661,revisar área,ok,"ok, arboles",1,0,0,trend,"POLYGON ((-70.99100006810666 19.79882144545987, -70.99103032858993 19.79862572101135, -70.99112300860864 19.79844842672187, -70.99126903583938 19.79830691731816, -70.99145411609277 19.79821504461927, -70.99166013253843 19.79818180166495, -70.99186691906297 19.79821044245255, -70.99205423418876 19.79829816343393, -70.99220374236361 19.79843637794184, -70.99230080871236 19.7986115566846, -70.99233593159009 19.79880655204645, -70.9923056727131 19.79900227657741, -70.99221299380298 19.79917957138499, -70.99206696675965 19.79932108154455, -70.99188188570098 19.79941295494835, -70.99167586776485 19.79944619828738, -70.99146907963402 19.79941755741734, -70.99128176339966 19.79932983591786, -70.99113225503734 19.79919162065408, -70.99103518949391 19.79901644120643, -70.99100006810666 19.79882144545987))"
213,343112,cereza,cereza,0.94319987,6981.19,"revisar tipo de cultivo, centrar",Se movió hacia la derecha y abajo,ok,1,0,0,trend,"POLYGON ((-70.82101110972248 19.75367353567445, -70.82026766978639 19.75286284288543, -70.82089244131924 19.75249714546485, -70.82124325852001 19.75320187025041, -70.82133449490523 19.75337777921933, -70.82117187630421 19.75347108509227, -70.82121050256681 19.75360907442228, -70.82101110972248 19.75367353567445))"
214,344312,pasto,plátano,44.015995000000004,25165.586,revisar área,"Se movió hacia la izquierda, zona de influencia contiene arboles","ok, arbustos",0,0,0,trend,"POLYGON ((-70.89568497528279 19.73904919957878, -70.89694619981381 19.73788713797028, -70.89754112350224 19.7381514906354, -70.89752429427134 19.73880851903626, -70.89729296127437 19.73957719715655, -70.89634624304706 19.73973289604943, -70.89568497528279 19.73904919957878))"
215,344311,pasto,pasto,17.606398000000002,15138.91,revisar tipo de cultivo,El tipo de cultivo no corresponde,"ok, revisar tipo cultivo arboles",0,0,0,trend,"POLYGON ((-70.9106063129074 19.73231712199581, -70.91063666799376 19.73212140254256, -70.91072940939173 19.73194414442118, -70.91087545877112 19.73180269881775, -70.91106051977556 19.73171091130645, -70.91126647745931 19.73167776658915, -70.91147317146047 19.73170650904804, -70.91166036935705 19.73179432518345, -70.91180974707071 19.73193261901403, -70.91190668249551 19.73210785348307, -70.91194168680201 19.73230287551913, -70.91191133331355 19.73249859506017, -70.91181859301415 19.73267585370139, -70.91167254381438 19.73281730005813, -70.91148748200199 19.73290908826847, -70.91128152283135 19.73294223336354, -70.91107482723227 19.73291349081685, -70.91088762823713 19.73282567416161, -70.91073825034387 19.73268737957773, -70.91064131572701 19.73251214440963, -70.9106063129074 19.73231712199581))"
216,344513,pasto,pasto,4.212959300000001,15136.349,Mover al centro del cultivo,Se movió hacia  arriba y la derecha,"ok, arboles",0,0,0,trend,"POLYGON ((-71.06842985337065 19.81750673445235, -71.06846001903671 19.81731100531217, -71.06855261800689 19.81713367778006, -71.06869858589039 19.81699210983723, -71.06888363430605 19.81690015903285, -71.06908964953935 19.81686682605162, -71.06929646559541 19.81689537370249, -71.06948383810641 19.81698300755338, -71.06963342590386 19.81712114946551, -71.06973058631962 19.81729627725348, -71.06976580850154 19.8174912482899, -71.0697356444455 19.81768697750681, -71.06964304659077 19.81786430555384, -71.06949707890209 19.81800587425309, -71.06931202968613 19.81809782576646, -71.0691060129632 19.81813115913845, -71.06889919529709 19.81810261141085, -71.06871182167065 19.81801497704505, -71.06856223367841 19.8178768343765, -71.06846507406293 19.81770170587954, -71.06842985337065 19.81750673445235))"
219,344811,pasto,pasto,1.8863997,21751.561,"el punto esta sobre la vía, mover hacia arriba y  revisar el área","Se movió hacia arriba , el área de influencia contiene arbustos",ok,0,0,0,trend,"POLYGON ((-71.00277623315409 19.81749271968279, -71.00276327194126 19.81665003434464, -71.00258697324466 19.81655395605641, -71.00296686608648 19.81504655707442, -71.00323177093325 19.81496569013542, -71.00337132092037 19.81645154483313, -71.00380908065102 19.81653932652706, -71.00384777301521 19.81673740264365, -71.00371105686229 19.81762210924163, -71.00277623315409 19.81749271968279))"
220,344912,pasto,pasto,5.030399299999999,14627.081,"el punto esta sobre un arbusto, mover hacia arriba",Se movió hacia arriba,ok,1,0,0,trend,"POLYGON ((-71.04131383376988 19.82081604459652, -71.04158114618433 19.82019800425967, -71.04257652898431 19.82036557678014, -71.04266030098843 19.82005415039294, -71.04316971961617 19.8202399422372, -71.04288062339492 19.82114478469531, -71.04173851668395 19.82094785326044, -71.04131383376988 19.82081604459652))"
221,344913,pasto,pasto,1.7606398,24315.789,mover hacia el centro del cultivo,"Se movió hacia la derecha, el ára de influencia contiene arbustos",ok,1,0,0,trend,"POLYGON ((-71.03865451273263 19.8191504993932, -71.03913242410893 19.81824197205752, -71.04045190620754 19.81898343979273, -71.04087722662668 19.81955462735074, -71.03989188801427 19.82013383979487, -71.03970274184994 19.81961646884541, -71.03867799493423 19.81945751376952, -71.03865451273263 19.8191504993932))"
223,354011,cero,ají,1.2575998,15125.077,revisar área,ok,ok,0,0,1,no trend,"POLYGON ((-71.62827493242926 18.40630416186214, -71.6283043708621 18.40610841202944, -71.62839573528609 18.4059309268275, -71.62854008216289 18.40578907968181, -71.6287232817804 18.40569675548032, -71.62892740138045 18.40566299146171, -71.62913246050513 18.4056910926247, -71.62931838675033 18.40577830823414, -71.62946698051172 18.40591610108119, -71.62956369643071 18.40609098314091, -71.62959906718248 18.40628583583624, -71.62956963024067 18.40648158568644, -71.62947826688648 18.40665907132982, -71.62933392024962 18.40680091917229, -71.62915071995052 18.40689324405973, -71.62894659900772 18.40692700849147, -71.62874153839201 18.40689890731099, -71.62855561107702 18.40681169126012, -71.62840701707569 18.40667389771629, -71.62831030183828 18.40649901497061, -71.62827493242926 18.40630416186214))"
227,356011,cero,ají,2.2007997,18372.999,"punto sobre la vía, mover hacia abajo",Se movió hacia abajo,"ok, arboles",0,0,1,no trend,"POLYGON ((-71.59218377057944 18.40246436054299, -71.59293502494795 18.40190137185406, -71.59326246180233 18.40178984794886, -71.59381347457007 18.40166779496138, -71.59433371154499 18.40177522337174, -71.59443039148918 18.40195012812327, -71.59481756188949 18.40222147805043, -71.59475605186437 18.4024624556044, -71.59434484453587 18.40251821484006, -71.59223019171193 18.4025572094858, -71.59218377057944 18.40246436054299))"
228,356611,guineo,ají,1.8863997,15125.018,mover hacia el centro del cultivo,ok,ok,0,0,1,no trend,"POLYGON ((-71.63158192084182 18.40979717505768, -71.63161135550934 18.40960142517137, -71.63170271767083 18.40942393862945, -71.63184706400941 18.40928208898857, -71.63203026486561 18.40918976138093, -71.63223438735999 18.40915599337857, -71.63243945075132 18.40918409037013, -71.63262538221795 18.40927130202875, -71.63277398164449 18.40940909153235, -71.6328707031178 18.40958397118326, -71.63290607876944 18.40977882264026, -71.63287664559337 18.40997457254385, -71.63278528450211 18.41015205952717, -71.63264093840378 18.41029390986494, -71.63245773686607 18.41038623815881, -71.63225361302875 18.4104200065746, -71.63204854814599 18.41039190956576, -71.63186261560911 18.41030469746573, -71.63171401594234 18.41016690726524, -71.63161729515052 18.4099920269281, -71.63158192084182 18.40979717505768))"
232,369211,cero,limon,1.8863997,15119.851,revisar área,ok,"ok, arboles",0,0,0,trend,"POLYGON ((-71.8583917498768 18.48738800556817, -71.85842092258103 18.48719225389408, -71.85851206516037 18.48701468444585, -71.85865625578919 18.48687267889683, -71.85883938004697 18.48678013764022, -71.8590435125504 18.48674611915977, -71.8592486715784 18.48677395336012, -71.85943477494949 18.48686091563592, -71.85958360572403 18.48699849357517, -71.85968059534594 18.48717322018995, -71.85971624970038 18.48736799212104, -71.85968707850004 18.48756374379606, -71.85959593701168 18.48774131367702, -71.85945174664417 18.48788331992533, -71.85926862171823 18.48797586188065, -71.8590644878724 18.48800988079236, -71.8588593273405 18.4879820465911, -71.85867322287844 18.48789508388256, -71.85852439184261 18.48775750524402, -71.85842740288885 18.48758277793053, -71.8583917498768 18.48738800556817))"
233,369411,cero,plátano,1.5719998,15119.857,mover hacia el centro del cultivo,ok,ok,0,0,0,trend,"POLYGON ((-71.85742373826628 18.49026400368147, -71.85745291209483 18.49006825199329, -71.85754405682491 18.48989068271704, -71.85768825042032 18.4897486775092, -71.8578713781702 18.48965613672959, -71.85807551434939 18.48962211881522, -71.85828067687709 18.48964995361534, -71.85846678322926 18.4897369164659, -71.85861561617445 18.48987449489868, -71.85871260694412 18.49004922187745, -71.85874826131104 18.49024399400736, -71.85871908898662 18.49043974569657, -71.85862794534761 18.4906173154057, -71.85848375201343 18.49075932131293, -71.85830062359518 18.49085186279132, -71.85809648607329 18.49088588113692, -71.85789132204144 18.49085804633578, -71.85770521459821 18.49077108305233, -71.85755638139177 18.49063350392015, -71.85745939129049 18.49045877624263, -71.85742373826628 18.49026400368147))"
234,370511,guineo,chinola,2.5151997,15129.479,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-71.41804919686383 18.30866538648496, -71.41807887490398 18.30846964085135, -71.41817042959363 18.30829223533421, -71.41831489877286 18.30815053555793, -71.41849814076058 18.30805841198539, -71.41870221865261 18.30802488221806, -71.41890715607349 18.30805322832693, -71.41909289253034 18.30814067560194, -71.41924124699366 18.30827866415826, -71.41933769752627 18.30845368681305, -71.41937280277965 18.30864861122507, -71.41934312621656 18.30884435689104, -71.41925157257594 18.30902176285675, -71.41910710361705 18.3091634633265, -71.41892386093683 18.30925558757251, -71.41871978170391 18.30928911773608, -71.41851484280599 18.30926077159486, -71.41832910530009 18.30917332387127, -71.41818075061641 18.30903533462149, -71.41808430077633 18.30886031129322, -71.41804919686383 18.30866538648496))"
235,370911,pasto,limon,1.8863997,8074.793,ok,Zona de influencia contiene arboles,ok,0,0,0,trend,"POLYGON ((-71.85996530500894 18.48586286313633, -71.85997809657565 18.48553084934986, -71.86000308373053 18.48530343664845, -71.86006284100519 18.48512290135946, -71.86006458554907 18.48507048228979, -71.86014950951841 18.48506711966064, -71.86035213471266 18.48514472511231, -71.86050059794287 18.48518863641972, -71.86061519963032 18.48531913317884, -71.86070195746574 18.48550493834647, -71.86069680730593 18.48566718401566, -71.86071057726336 18.48586656699262, -71.860739990591 18.48606321857341, -71.86054160732654 18.48608368189391, -71.86035708147033 18.48615133844838, -71.86019350985224 18.48622117299873, -71.86007910954081 18.48626032552768, -71.86003819984928 18.4861586533589, -71.86003110816328 18.48604649047547, -71.85999301973285 18.48595725009682, -71.85996530500894 18.48586286313633))"
236,371211,cero,guineo,1.8863997,15121.822,revisar área,ok,ok,0,0,0,trend,"POLYGON ((-71.77191091506712 18.43142167482493, -71.77194018783555 18.43122592361633, -71.77203140451329 18.43104838696237, -71.77217563602274 18.43090644332591, -71.77235876394292 18.43081398704, -71.77256286253248 18.43078006827166, -71.77276795338983 18.43080800716602, -71.77295396100546 18.43089506887043, -71.77310267781158 18.43103273124044, -71.77319954640701 18.4312075190232, -71.77323508452326 18.43140232287114, -71.77320581325155 18.43159807408658, -71.77311459765529 18.43177561117573, -71.77297036639898 18.43191755550951, -71.77278723780691 18.43201001248849, -71.77258313787706 18.43204393168094, -71.772378045523 18.43201599277972, -71.77219203682588 18.43192893064012, -71.77204331976664 18.43179126757278, -71.77194645184309 18.43161647909697, -71.77191091506712 18.43142167482493))"
237,371311,cero,limon,1.5091197,11471.24,mover hacia el centro del cultivo,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-71.7821987362734 18.42901162867918, -71.78222273415393 18.42866197171662, -71.78348732712584 18.42879740693038, -71.78352287568094 18.42899220742089, -71.78349091729697 18.42949667312214, -71.78199924853696 18.42939379932783, -71.7821987362734 18.42901162867918))"
238,371411,limon,rulo,1.8863997,16547.952,mover hacia el centro del cultivo,se movió hacia abajo,ok,0,0,0,trend,"POLYGON ((-71.76815934435466 18.42797396967321, -71.76902351095966 18.42676373229252, -71.76920242291848 18.42683597319449, -71.76954367104051 18.4262720998435, -71.77004605648352 18.42662904527525, -71.76941729992048 18.42752147335087, -71.76878310332278 18.42807465137334, -71.76827865048547 18.42824169558884, -71.76815934435466 18.42797396967321))"
239,371511,cero,plátano,1.8863997,15121.901,"mover hacia el centro del cultivo, la zona de influencia contiene edificaciones y revisar área",Se movió hacia la derecha y abajo,ok,0,0,0,trend,"POLYGON ((-71.76959854081981 18.42533676627975, -71.7696278162301 18.42514101510795, -71.76971903313878 18.42496347957741, -71.7698632624458 18.42482153804104, -71.77004638594572 18.42472908462636, -71.77025047832993 18.42469516921937, -71.77045556180413 18.42472311163622, -71.77064156158148 18.42481017667943, -71.77079027086138 18.42494784187775, -71.77088713297931 18.42512263170143, -71.77092266630089 18.42531743660307, -71.77089339238671 18.42551318778183, -71.77080217655896 18.42569072374748, -71.77065794750484 18.42583266598092, -71.77047482333316 18.42592512008837, -71.77027072960914 18.42595903591921, -71.77006564463883 18.4259310934954, -71.76987964378053 18.42584402801708, -71.76973093424775 18.42570636212168, -71.76963407280158 18.42553157160524, -71.76959854081981 18.42533676627975))"
240,371911,maiz grano/mazorca,lechoza,1.8863997,15121.923,revisar área,ok,ok,0,1,1,trend,"POLYGON ((-71.76842990342443 18.4339516639636, -71.76845918023261 18.4337559127613, -71.76855040169421 18.43357837717619, -71.76869463826343 18.43343643556645, -71.76887777102398 18.43334398206674, -71.76908187376081 18.43331006657134, -71.7692869676664 18.43333800890506, -71.76947297693286 18.43342507387859, -71.76962169383081 18.43356273902755, -71.76971856095004 18.43373752882704, -71.76975409616648 18.4339323337321, -71.76972482085517 18.43412808494155, -71.76963360047495 18.43430562096211, -71.76948936415856 18.43444756326928, -71.76930623072572 18.43454001746199, -71.76910212664826 18.43457393338127, -71.76889703124583 18.4345459910404, -71.76871102089798 18.43445892563142, -71.7685623037472 18.43432125978504, -71.76846543730026 18.43414646929254, -71.76842990342443 18.4339516639636))"
243,27611,pasto,pasto,7.545599,10019.219,"Punto sobre la vía, mover hacía la derecha o izquierda","Se movió hacia la izquierda, zona de influencia contiene árboles",ok,0,0,0,trend,"POLYGON ((-71.45845235179759 19.52883826695094, -71.4585239980013 19.52864515280184, -71.45857403780562 19.52846504479633, -71.46011895628538 19.52864839478596, -71.46005469888897 19.52892375407478, -71.45995579452453 19.5293443132167, -71.45845235179759 19.52883826695094))"
244,51511,plátano,plátano,1.8863997,24270.634,ok,ok,ok,0,0,0,trend,"POLYGON ((-70.45014245941466 18.22665354930304, -70.45062038382677 18.22568116938066, -70.45101982475035 18.22478694784431, -70.45116009543902 18.22459846098857, -70.45140354012874 18.22487892143281, -70.45199246556008 18.22666950407314, -70.45014245941466 18.22665354930304))"
245,110811,plátano,plátano,1.8863997,5079.264,ok,Zona de influencia contiene edificaciones,ok,0,0,0,trend,"POLYGON ((-70.50540731931039 19.31697879032839, -70.50548159027204 19.31653468519787, -70.50597158087329 19.31654355998885, -70.50631832556031 19.31666214094203, -70.50644685226996 19.3167282613293, -70.50636127893185 19.31689433869115, -70.50605734468947 19.31699245337599, -70.50565680797801 19.31694408175612, -70.50561901431912 19.31697798464436, -70.50556224059223 19.3173169463916, -70.50547536471362 19.31734091871636, -70.5053910683762 19.31734936620904, -70.50540731931039 19.31697879032839))"
246,116621,plátano,plátano,2.1379197,16841.737,"Punto sobre la vía, mover hacía la izquierda",Se movió hacia la izquierda y abajo,ok,0,0,0,trend,"POLYGON ((-70.49052036819481 19.29062109957617, -70.49021889531873 19.29038583769274, -70.4917857440789 19.28971672478929, -70.49231992001873 19.28980538214027, -70.49230776192631 19.29026542217429, -70.49207626584376 19.29031640857669, -70.49157451738827 19.2904316167714, -70.4917087820067 19.29083361420336, -70.49103061155523 19.29107170713447, -70.49052036819481 19.29062109957617))"
249,154411,plátano,plátano,1.5719998,5587.309,Revisar tipo de cultivo,Revisar tipo de cultivo,ok,0,0,0,trend,"POLYGON ((-70.60314797490564 19.29961120283468, -70.60253895767323 19.29911012029853, -70.60295045067036 19.29888946570912, -70.60313125104766 19.29901190168198, -70.60349446814352 19.29886401706579, -70.60374619358625 19.29900391614941, -70.60344296649745 19.29916419345557, -70.60355281749608 19.29926658156669, -70.60348632863965 19.2994858493944, -70.60314797490564 19.29961120283468))"
251,208211,pasto,pasto,1.8863997,22337.324,ok,Zona de influencia contiene arboles,ok,0,0,0,trend,"POLYGON ((-71.03963843974527 19.68066727250389, -71.03968669661811 19.68017074209943, -71.0401249716332 19.67870752336623, -71.03986660383266 19.67865621083208, -71.03994823540788 19.67821096600902, -71.04063316278419 19.67824322326822, -71.04021768332096 19.6798908854711, -71.04023275480715 19.68065018670355, -71.04023689674734 19.68183842982464, -71.03968134177143 19.68190157392926, -71.03963843974527 19.68066727250389))"
252,215311,pasto,pasto,4.0871997,15136.925,"Punto sobre copa de árbol, mover hacía abajo","Se movió hacia abajo, zona de influencia contiene árboles","ok, arboles",0,0,0,trend,"POLYGON ((-71.03300045672015 19.67986820583805, -71.03303065705249 19.67967247831633, -71.03312323271777 19.67949517017239, -71.03326912160801 19.67935363749001, -71.03345404307507 19.67926173436763, -71.03365989583031 19.67922845682337, -71.03386652978173 19.67925706224028, -71.03405371838512 19.67934475053189, -71.03420313847265 19.67948293822999, -71.03430016379217 19.67965809866651, -71.03433529671642 19.67985308601735, -71.03430509798008 19.68004881361689, -71.03421252341913 19.68022612227293, -71.03406663471975 19.68036765570612, -71.0338817124572 19.68045955953123, -71.03367585822393 19.6804928374617, -71.03346922267653 19.68046423196699, -71.03328203296878 19.68037654316326, -71.03313261269041 19.68023835471436, -71.03303558816637 19.6800631935751, -71.03300045672015 19.67986820583805))"
253,215411,pasto,pasto,5.344799500000001,15137.379,ok,ok,ok,0,0,0,trend,"POLYGON ((-71.00531878176406 19.63485285164632, -71.00534901312072 19.63465712563693, -71.00544159966805 19.63447983052545, -71.00558747823354 19.63433832111996, -71.00577236918008 19.63424644924063, -71.00597817420659 19.63421320784771, -71.00618474789258 19.63424185078588, -71.00637186959237 19.63432957429604, -71.00652122268643 19.63446779146254, -71.00661818747999 19.63464297273249, -71.00665327227057 19.63483797024204, -71.00662304250491 19.63503369633083, -71.00653045705712 19.6352109919543, -71.00638457867974 19.63535250210881, -71.00619968693799 19.6354443746881, -71.00599388043672 19.63547761646455, -71.00578730515973 19.63544897344699, -71.00560018236038 19.63536124942484, -71.00545082907826 19.63522303150931, -71.00535386507988 19.63504784953941, -71.00531878176406 19.63485285164632))"
254,216311,pasto,,1.8863997,15136.878,"Punto sobre vía, revisar tipo de cultivo","Revisar tipo de cultivo, se movió hacia la derecha","ok, revisar tipo cultivo",0,0,0,trend,"POLYGON ((-71.03538606129291 19.68487856549016, -71.03541625902022 19.68468283784348, -71.03550883426982 19.68450552853844, -71.03565472497435 19.68436399377248, -71.03583965030802 19.68427208784792, -71.03604550860373 19.68423880705718, -71.03625214922721 19.68426740910105, -71.03643934498119 19.68435509422321, -71.03658877199797 19.68449327926572, -71.03668580334717 19.68466843782049, -71.03672094081126 19.68486342424762, -71.03669074468048 19.68505915197199, -71.03659817053571 19.68523646178918, -71.0364522800223 19.68537799730617, -71.03626735389305 19.68546990393373, -71.03606149411891 19.68550318511092, -71.03585485189893 19.68547458298938, -71.03566765504011 19.68538689735505, -71.03551822783221 19.68524871156153, -71.03542119727861 19.68507355230377, -71.03538606129291 19.68487856549016))"
255,216312,pasto,pasto,1.8863997,15136.854,"Punto sobre vía, revisar tipo de cultivo","Revisar tipo de cultivo, se movió hacia la izquierda","ok, revisar tipo cultivo",0,0,0,trend,"POLYGON ((-71.03766822287946 19.68641301637567, -71.03769841789553 19.68621728859763, -71.03779099122855 19.68603997828844, -71.03793688099871 19.68589844174379, -71.03812180647169 19.68580653344016, -71.03832766596673 19.6857732499028, -71.03853430873212 19.68580184910132, -71.03872150736106 19.68588953155792, -71.03887093770436 19.68602771437556, -71.03896797250609 19.68620287136395, -71.0390031132108 19.68639785703655, -71.03897291979146 19.68659358489212, -71.03888034756353 19.68677089571342, -71.0387344579847 19.68691243300913, -71.03854953171623 19.68700434201592, -71.03834367074271 19.68703762593995, -71.03813702638057 19.6870090266639, -71.03794982664655 19.68692134369519, -71.03780039611192 19.68678316012648, -71.03770336210567 19.68660800243494, -71.03766822287946 19.68641301637567))"
256,216411,pasto,pasto,0.50303996,15136.853,"Punto sobre vía, revisar tipo de cultivo","Revisar tipo de cultivo, se movió hacia la izquierda","ok, revisar tipo cultivo",0,0,0,trend,"POLYGON ((-71.03700651053138 19.68341698576309, -71.03703670616302 19.68322125801374, -71.03712927886342 19.6830439480793, -71.03727516681471 19.68290241221882, -71.03746008946062 19.68281050484178, -71.03766594539712 19.68277722238279, -71.03787258422079 19.6828058227059, -71.03805977891059 19.68289350622322, -71.03820920570297 19.68303168993389, -71.03830623768954 19.68320684756016, -71.0383413765904 19.68340183355306, -71.03831118255518 19.68359756137994, -71.03821861095965 19.68377487182642, -71.0380727231996 19.68391640843785, -71.03788779975831 19.6840083165179, -71.03768194234361 19.68404159936346, -71.03747530192351 19.68401299896281, -71.03728810612884 19.68392531493345, -71.03713867914519 19.68378713047184, -71.03704164795403 19.68361197214254, -71.03700651053138 19.68341698576309))"
257,216811,pasto,pasto,4.0871997,25354.716,"centrar punto hacía arriba, revisar área","Se movió hacia la derecha y arriba, zona de influencia contiene arboles","ok, arbol",0,0,0,trend,"POLYGON ((-71.03040103033831 19.68169421798554, -71.03010605943393 19.68122740190033, -71.03072002944299 19.68060564430363, -71.03101920190073 19.68051180359662, -71.03120412614706 19.68041990257186, -71.03141243029731 19.68014832559495, -71.03198228084121 19.68035370354941, -71.03181670829123 19.68152583244176, -71.03177297090829 19.68192152195506, -71.03069183482704 19.68183042439922, -71.03040103033831 19.68169421798554))"
258,225611,pasto,pasto,18.863998000000002,15130.548,ok,ok,ok,0,0,0,trend,"POLYGON ((-71.383395544948 19.48382177590667, -71.38342530446045 19.48362603087895, -71.38351738799435 19.48344858779394, -71.38366278161303 19.48330681594771, -71.38384725314444 19.48321459285102, -71.38405274533741 19.48318094584207, -71.38425914339005 19.48320916846632, -71.38444624384817 19.48329649810361, -71.38459573217411 19.48343438638992, -71.3846929754406 19.48360933596443, -71.38472845469163 19.48380422164491, -71.38469869676518 19.4839999667213, -71.38460661434915 19.48417741029479, -71.3844612209532 19.4843191828827, -71.38427674866431 19.48441140669098, -71.38407125502297 19.48444505410964, -71.38386485538433 19.48441683143671, -71.38367775380836 19.48432950131096, -71.38352826525968 19.48419161228296, -71.38343102275067 19.48401666199685, -71.383395544948 19.48382177590667))"
259,226511,pasto,pasto,1.2575998,13497.36,"Punto sobre vía, mover hacía la derecha","Se movió hacia la derecha, la zona de influencia contiene árboles",ok,0,0,0,trend,"POLYGON ((-71.4034265620635 19.54892670053365, -71.40341555464478 19.54818369219497, -71.40356098032105 19.54804190095487, -71.4037455073841 19.54794965154166, -71.40459162286442 19.54834425804789, -71.40426424803027 19.54916333189091, -71.40424935874414 19.54926167565689, -71.40385235425126 19.5493134528648, -71.40365101316117 19.54933163062226, -71.4034265620635 19.54892670053365))"
260,236211,pasto,pasto,8.8031988,15124.379,Mover hacia abajo,Se movió hacia abajo e izquierda,ok,0,0,0,trend,"POLYGON ((-71.67856440966585 19.67159114903053, -71.67859381217362 19.67139539515944, -71.67868563432793 19.67121782888337, -71.67883088777312 19.67107583155842, -71.67901535405421 19.67098330276579, -71.67922097643212 19.67094929976459, -71.6794276273626 19.67097715094379, -71.67961507864156 19.67106413003995, -71.67976498139524 19.67120172300128, -71.67986266213339 19.67137646137635, -71.67989855907905 19.67157124065939, -71.6798691581823 19.67176699455873, -71.67977733717893 19.67194456131483, -71.67963208398501 19.67208655938821, -71.67944761695952 19.67217908891182, -71.67924199312588 19.67221309234731, -71.67903534058441 19.67218524113985, -71.67884788815448 19.67209826156368, -71.67869798514953 19.67196066785392, -71.67860030515578 19.67178592874787, -71.67856440966585 19.67159114903053))"
261,238022,pasto,pasto,5.7849593,15129.26,"Punto sobre vía, el área del cultivo contiene lagunas",Se movió hacia abajo y derecha,ok,0,0,0,trend,"POLYGON ((-71.44665354597778 19.52929697071619, -71.44668322983684 19.52910122343267, -71.44677526030428 19.52892375355655, -71.44692062863692 19.52878193300666, -71.44710510513701 19.52868964406095, -71.44731063206665 19.52865592050278, -71.44751709122399 19.52868406337001, -71.4477042731743 19.52877131784903, -71.44785385540393 19.52890914293265, -71.4479511957946 19.52908404744695, -71.4479867658834 19.52927891062116, -71.44795708361622 19.52947465794904, -71.44786505427403 19.529652128312, -71.44771968617025 19.52979394960525, -71.44753520891516 19.52988623926689, -71.44732968053511 19.52991996324012, -71.44712321978591 19.52989182032852, -71.44693603671034 19.52980456536265, -71.44678645425184 19.52966673953568, -71.44668911461615 19.52949183430544, -71.44665354597778 19.52929697071619))"
262,238021,pasto,pasto,5.7849593,15129.253,"Punto repetido en el cultivo 2380, parcela 22",Se movió hacia abajo y derecha,ok,0,0,0,trend,"POLYGON ((-71.4466228808385 19.52907254790978, -71.44665256472666 19.52887680062735, -71.44674459513175 19.52869933077301, -71.44688996331666 19.52855751026346, -71.44707443959815 19.52846522137272, -71.44727996625967 19.52843149787875, -71.44748642512565 19.52845964081315, -71.44767360678983 19.52854689535573, -71.44782318876665 19.52868472049305, -71.44792052896248 19.52885962504597, -71.44795609893353 19.52905448823991, -71.44792641663722 19.52925023556672, -71.44783438735737 19.5294277059079, -71.44768901940131 19.5295695271608, -71.44750454236485 19.52966181676746, -71.44729901425292 19.52969554067647, -71.44709255379512 19.5296673976977, -71.44690537100567 19.52958014266829, -71.44675578880002 19.52944231678762, -71.44665844935915 19.52926741151877, -71.4466228808385 19.52907254790978))"
263,239013,pasto,pasto,5.030399299999999,18567.885,Punto repetido cultivo 2390 parcela 11,Se movió hacia la derecha,ok,0,0,0,trend,"POLYGON ((-71.53475989348182 19.55249868945556, -71.53467676977907 19.55206081889873, -71.53517022436621 19.55191218878436, -71.53530007338756 19.55185062319162, -71.5360992273704 19.55175929284017, -71.53624889935551 19.55189703368553, -71.53634634609594 19.55207187806222, -71.53638202871933 19.55226671108679, -71.53635245415603 19.55246246120525, -71.53635360852297 19.55267257457763, -71.53611521695647 19.55278185297612, -71.53490406956873 19.55300801451449, -71.53475989348182 19.55249868945556))"
