cuest_id_b,cuest_id,time,parcela,cultivo,temporary_crop,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
2439,H0965,0. Baseline,11,pasto,0,54,Male,8.1743994,19.526539,-71.494438,dajabón,partido,mayo,2011,1996,,,0,0. Pure Control,0
2515,H1198,0. Baseline,11,,0,37,Male,1.1947198,19.619651,-71.23593,monte cristi,las matas de santa cruz,,,,,,0,0. Pure Control,0
2552,H0978,0. Baseline,13,pasto,0,44,Male,3.1439996,19.564339,-71.535568,dajabón,partido,no recuerda,1990,1990,,,0,0. Pure Control,0
2552,H0978,0. Baseline,21,pasto,0,44,Male,18.863998,19.564339,-71.535797,dajabón,partido,no recuerda,1990,1990,,,0,0. Pure Control,0
2552,H0978,0. Baseline,11,pasto,0,44,Male,2.6409597,19.564249,-71.535782,dajabón,partido,no recuerda,1990,1990,,,0,0. Pure Control,0
2552,H0978,0. Baseline,21,pasto,0,44,Male,18.863998,19.564339,-71.535797,dajabón,partido,mayo,2011,1990,,,0,0. Pure Control,0
2552,H0978,0. Baseline,22,pasto,0,44,Male,.62879992,19.555899,-71.540527,dajabón,partido,octubre,2011,1990,,,0,0. Pure Control,0
2552,H0978,0. Baseline,12,pasto,0,44,Male,2.5151997,19.564289,-71.535667,dajabón,partido,no recuerda,1990,1990,,,0,0. Pure Control,0
2566,H1000,0. Baseline,11,pasto,0,40,Male,18.863998,19.34132,-71.66670999999999,dajabón,restauracion,no recuerda,1990,1992,,,5765.439178466797,0. Pure Control,0
2566,H1000,0. Baseline,11,maiz grano/mazorca,1,40,Male,18.863998,19.34132,-71.66670999999999,dajabón,restauracion,mayo,2011,2000,octubre,2011,5765.439178466797,0. Pure Control,0
2566,H1000,0. Baseline,11,sandia,1,40,Male,18.863998,19.34132,-71.66670999999999,dajabón,restauracion,julio,2011,2000,octubre,2011,5765.439178466797,0. Pure Control,0
2566,H1000,0. Baseline,11,naranja,0,40,Male,18.863998,19.34132,-71.66670999999999,dajabón,restauracion,no recuerda,1997,1997,,,5765.439178466797,0. Pure Control,0
2566,H1000,0. Baseline,11,yuca,1,40,Male,18.863998,19.34132,-71.66670999999999,dajabón,restauracion,junio,2011,2000,junio,2012,5765.439178466797,0. Pure Control,0
2581,H1144,0. Baseline,21,guineo,0,35,Male,3.1439996,19.565907,-70.944793,valverde,esperanza,febrero,2010,2010,,,2964.3720703125,0. Pure Control,0
2589,H1120,0. Baseline,11,pasto,0,33,Male,12.575998,19.417119,-71.269904,santiago rodriguez,san ignacio de sabaneta,mayo,2000,2000,,,0,0. Pure Control,0
2594,H1052,0. Baseline,13,pasto,0,56,Male,2.1379197,19.45022,-71.323369,santiago rodriguez,san ignacio de sabaneta,mayo,2004,2004,,,0,0. Pure Control,0
2594,H1052,0. Baseline,11,pasto,0,56,Male,2.6409597,19.447402,-71.32543099999999,santiago rodriguez,san ignacio de sabaneta,mayo,2011,2004,,,0,0. Pure Control,0
2594,H1052,0. Baseline,12,,0,56,Male,1.0060799,19.454463,-71.326059,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2595,H1041,0. Baseline,12,pasto,0,51,Male,1.3204799,19.453512,-71.302307,santiago rodriguez,san ignacio de sabaneta,julio,2009,2004,,,1110.671997070313,0. Pure Control,0
