cuest_id_b,parcela,cultivo,temporary_,superf_par,Y,X,patca,correccion,corregido,corregido2,area
"3873","11",cebolla,"1",1.257599800000000,18.824061999999998,-71.153756000000001,"1","Punto sobre arbusto, mover a la izquierda",Se movio hacia la izquierda,"ok, revisar tipo cultivo",15134.673
"3887","11",cebolla,"1",1.257599800000000,18.667745999999998,-71.345965000000021,"0",ok,ok,ok,14381.846
"3912","11",aguacate,"0",3.772799500000000,18.694243000000000,-70.950913000000000,"1",ok,ok,ok,8005.636
"3927","11",aguacate,"0",1.131839900000000,18.755153000000000,-70.837807999999995,"1","Revisar área, se observa un área mayor en el cultivo a la escrita.",Se movió hacia arriba,ok,15139.913
"3937","12",arroz,"1",1.886399700000000,18.758489000000001,-71.486891000000000,"1",Revisar el área,ok,"ok, revisar tipo cultivo",15128.202
"3937","11",batata,"1",2.515199700000000,18.758929000000002,-71.490442000000002,"1",Revisar tipo de cultivo,Revisar tipo de cultivo,"ok, revisar tipo cultivo",15128.143
"3950","11",aguacate,"0",1.886399700000000,18.709109999999999,-70.799987999999999,"0",ok,ok,ok,13514.587
"3974","11",aguacate,"0",4.087199700000000,18.738645000000002,-70.928724000000003,"0","El punto se encuentra cercano a un predio, se puede mover al centro del cultivo",Se movió hacia la derecha,ok,12395.543
"3983","11",aguacate,"0",1.886399700000000,18.734220000000001,-70.937126000000021,"1","El punto se encuentra en un arbol, muy cercano a un lago que atraviesa el cultivo",Se movió hacia la derecha en el área más ancha,ok,6170.594
"3991","12",cafe,"0",6.287999200000000,18.606780999999998,-70.727911000000020,"1",Centrar,Se movió hacia la izquierda,ok,7044.419
"3996","11",cafe,"0",6.287999200000000,18.612719999999999,-70.741060000000004,"1",ok,ok,ok,14269.944
"4005","11",ají,"1",2.515199700000000,18.605342000000000,-70.729839999999996,"0",Revisar el área,ok,ok,15141.456
"4005","12",cafe,"0",1.257599800000000,18.604680999999999,-70.728397999999999,"0",Revisar el área,ok,ok,11186.208
"4006","11",aguacate,"0",1.257599800000000,18.607828000000001,-70.726543000000021,"1",ok,ok,ok,15141.511
"4036","11",arroz,"1",2.829599600000000,18.887090000000001,-71.465069999999997,"0",ok,ok,ok,17467.743
"4043","11",cafe,"0",5.030399299999999,18.615945000000000,-70.733469999999997,"0",ok,ok,ok,10010.757
"4045","12",cafe,"0",5.030399299999999,18.752170000000000,-70.896621999999979,"1",ok,ok,ok,15138.987
"4055","11",batata,"1",1.886399700000000,18.922563000000000,-71.611386999999979,"1","El punto se encuentra sobre la vía, mover",Se movió hacia la derecha,"ok, revisar cultivo",15125.660
"4078","12",cafe,"0",4.401599400000000,18.746051000000001,-70.879409999999979,"1",Revisar el área,ok,"ok, revisar tipo cultivo",15139.284
"4080","11",aguacate,"0",25.151997000000001,18.733080999999999,-70.910666000000020,"0",El punto se encuentra cercano al otro cultivo se recomienda mover el punto al centro de este,Se movió hacia el lado izquierdo,ok,15138.718
"4084","11",arroz,"1",0.817439910000000,18.729731000000001,-70.961162999999999,"0",ok,ok,ok,21978.337
"1150","11",yuca,"1",1.131839900000000,19.218753000000000,-70.491992000000010,"0",ok,la zona de influencia contiene edificaciones y árboles,ok,9209.002
"1412","21",tomate ensalada,"1",1.571999800000000,19.226785000000000,-70.670205999999979,"0",ok,la zona de influenca tiene árboles,ok,7310.304
"1414","21",tomate ensalada,"1",1.571999800000000,19.225070000000002,-70.650963000000004,"0",Revisar área,"se movió hacía la izquierda, la zona de influencia contiene árboles","ok, arbol",6394.192
"1660","11",yuca,"1",1.886399700000000,19.352806000000001,-70.403157999999991,"0",ok,la zona de influencia contiene árboles,ok,15145.821
"1662","11",tindora,"0",0.440159950000000,19.351541000000001,-70.428728000000021,"0",Revisar área,"se movió hacía la izquierda, la zona de influencia contiene árboles y edificaciones",ok,6606.571
"2158","11",yuca,"1",1.257599800000000,19.674783999999999,-71.019711999999998,"0",Revisar área,la zona de influencia contiene árboles,ok,15137.164
"2172","11",yuca,"1",3.143999600000000,19.651959999999999,-71.034998000000002,"0","Punto sobre la vía, centrar hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,15373.805
"2261","11",yuca,"1",25.151997000000001,19.479417999999999,-71.271045000000001,"0",Revisar área,"se movió hacia abajo, la zona de influencia contiene árboles","ok, arboles",15132.668
"2268","11",yuca,"1",2.137919700000000,19.430139000000000,-71.437254000000010,"0","Punto sobre árbol, revisar área","se movió hacia arriba, la zona de influencia contiene árboles","ok, arboles",15129.431
"2605","11",yuca,"1",6.287999200000000,19.493365000000001,-71.423236000000003,"0",Mover y revisar área,se movió hacia arriba y a la izquierda. la zona de influencia contiene árboles,ok,8056.441
"2607","13",yuca,"1",14.462399000000000,19.532284000000001,-71.443745999999990,"0",ok,la zona de influencia contiene árboles,ok,27498.277
"2612","11",yuca,"1",6.287999200000000,19.468135000000000,-71.282213999999996,"0","Punto sobre la vía, mover hacía la izquierda","se movió hacia la izquierda, la zona de influencia contiene árboles",ok,9542.783
"2617","11",yuca,"1",4.401599400000000,19.526609000000001,-71.312922999999998,"0",Punto sobre la vía mover hacía arriba,"se movió hacia arriba, la zona de influencia contiene árboles",ok,10853.013
"2654","11",yuca,"1",8.174399400000000,19.552858999999998,-71.392402000000004,"0",Revisar área,"se movió hacia la derecha, la zona de influencia contiene árboles",ok,17268.838
"2702","12",yuca,"1",1.131839900000000,19.492720000000002,-71.470427999999998,"0","Punto sobre vía, mover hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles","ok, árbol",15128.796
"3055","11",plátano,"0",1.194719800000000,19.421964000000003,-70.635330999999979,"1",Centrar punto hacía la derecha,"se movió hacía la derecha, la zona de influencia contiene edificaciones",ok,9232.150
"3059","21",plátano,"0",9.431999200000000,19.424403000000002,-70.609012000000021,"1","Punto sobre la vía, centrar punto hacía la derecha","se movió hacía la derecha, la zona de influencia contiene edificaciones",ok,22548.760
"3091","11",tabaco,"1",1.257599800000000,19.577316000000000,-70.868375000000000,"0","Punto sobre la vía, mover hacía la izquiersa, revisar área","se movió hacia la derecha y abajo, la zona de influencia contiene edificaciones","ok, se movio a la derecha",7949.979
"3101","11",yuca,"1",1.571999800000000,19.856601000000001,-71.054034000000001,"0","Punto sobre vía, mover hacía arriba","se movió hacia arriba, la zona de influencia contiene árboles",ok,18655.490
"3106","11",yuca,"1",1.571999800000000,19.854652999999999,-71.036156000000020,"1",centrar,"mover hacia la izquierda, la zona de influencia contiene árboles",ok,13026.186
"3115","11",tabaco,"1",2.075039600000000,19.410178999999999,-70.539612000000020,"0",revisar área,se movió a la izquierda y arriba,ok,8637.544
"3121","21",yuca,"1",1.886399700000000,19.443720000000003,-70.522221000000002,"0",Revisar área,se movió hacia arriba,ok,23966.772
"3127","11",yuca,"1",4.715999600000000,19.854517000000001,-71.036073000000002,"1",Centrar punto hacía la derecha,se movió hacía la derecha,ok,9715.291
"3128","11",yuca,"1",2.200799700000000,19.855895000000000,-71.054552999999999,"0",Punto sobre la vía mover hacía abajo,"se movió hacia abajo, la zona de influencia contiene árboles",ok,24423.008
"3183","11",yuca,"1",1.446239800000000,19.854801999999999,-71.030101999999999,"1","Punto sobre la vía, mover hacía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,9776.515
"3222","11",yuca,"1",1.320479900000000,19.534752999999998,-70.793691999999979,"1",ok,ok,ok,15140.713
"3228","21",yuca,"1",4.087199700000000,19.416498000000001,-70.479934999999998,"0",Revisar el área,la zona de influencia contiene árboles,"ok, arboles",6859.641
"3245","21",yuca,"1",0.628799920000000,19.430553000000000,-70.509538000000020,"0","Punto sobre la vía, mover hcía la derecha","se movió hacia la derecha, la zona de influencia contiene árboles",ok,11784.325
"3258","12",yuca,"1",5.030399299999999,19.492004000000001,-70.580742999999998,"0",Revisar el área,la zona de influencia contiene árboles,"ok ,arboles",14267.092
